State,X,Y,Year,NatGasC
FL,7,0,1960,"142,900"
FL,7,0,1961,"148,894"
FL,7,0,1962,"162,843"
FL,7,0,1963,"179,441"
FL,7,0,1964,"189,595"
FL,7,0,1965,"191,669"
FL,7,0,1966,"220,568"
FL,7,0,1967,"234,326"
FL,7,0,1968,"286,653"
FL,7,0,1969,"326,855"
FL,7,0,1970,"350,626"
FL,7,0,1971,"350,527"
FL,7,0,1972,"311,235"
FL,7,0,1973,"324,892"
FL,7,0,1974,"302,002"
FL,7,0,1975,"292,139"
FL,7,0,1976,"300,867"
FL,7,0,1977,"315,950"
FL,7,0,1978,"333,306"
FL,7,0,1979,"357,014"
FL,7,0,1980,"329,568"
FL,7,0,1981,"357,473"
FL,7,0,1982,"339,099"
FL,7,0,1983,"321,010"
FL,7,0,1984,"318,172"
FL,7,0,1985,"305,060"
FL,7,0,1986,"298,928"
FL,7,0,1987,"313,553"
FL,7,0,1988,"305,758"
FL,7,0,1989,"337,182"
FL,7,0,1990,"341,993"
FL,7,0,1991,"360,992"
FL,7,0,1992,"371,137"
FL,7,0,1993,"368,011"
FL,7,0,1994,"417,702"
FL,7,0,1995,"579,310"
FL,7,0,1996,"561,145"
FL,7,0,1997,"547,201"
FL,7,0,1998,"529,565"
FL,7,0,1999,"583,448"
FL,7,0,2000,"574,460"
FL,7,0,2001,"569,757"
FL,7,0,2002,"708,638"
FL,7,0,2003,"714,826"
FL,7,0,2004,"757,672"
FL,7,0,2005,"805,446"
FL,7,0,2006,"917,468"
FL,7,0,2007,"943,845"
FL,7,0,2008,"970,038"
FL,7,0,2009,"1,081,725"
FL,7,0,2010,"1,180,462"
FL,7,0,2011,"1,235,953"
FL,7,0,2012,"1,348,390"
FL,7,0,2013,"1,245,287"
FL,7,0,2014,"1,241,250"
FL,7,0,2015,"1,378,089"
FL,7,0,2016,"1,414,358"
FL,7,0,2017,"1,418,207"
GA,7,1,1960,"188,460"
GA,7,1,1961,"186,255"
GA,7,1,1962,"199,380"
GA,7,1,1963,"195,667"
GA,7,1,1964,"215,579"
GA,7,1,1965,"219,774"
GA,7,1,1966,"243,089"
GA,7,1,1967,"265,271"
GA,7,1,1968,"295,289"
GA,7,1,1969,"324,940"
GA,7,1,1970,"342,834"
GA,7,1,1971,"353,199"
GA,7,1,1972,"341,408"
GA,7,1,1973,"358,532"
GA,7,1,1974,"339,589"
GA,7,1,1975,"335,376"
GA,7,1,1976,"268,375"
GA,7,1,1977,"271,811"
GA,7,1,1978,"286,035"
GA,7,1,1979,"324,478"
GA,7,1,1980,"325,288"
GA,7,1,1981,"325,161"
GA,7,1,1982,"303,491"
GA,7,1,1983,"303,215"
GA,7,1,1984,"315,315"
GA,7,1,1985,"289,696"
GA,7,1,1986,"286,617"
GA,7,1,1987,"311,309"
GA,7,1,1988,"331,106"
GA,7,1,1989,"325,860"
GA,7,1,1990,"319,413"
GA,7,1,1991,"331,788"
GA,7,1,1992,"351,539"
GA,7,1,1993,"360,194"
GA,7,1,1994,"352,024"
GA,7,1,1995,"383,519"
GA,7,1,1996,"393,513"
GA,7,1,1997,"381,726"
GA,7,1,1998,"378,565"
GA,7,1,1999,"347,120"
GA,7,1,2000,"421,337"
GA,7,1,2001,"362,695"
GA,7,1,2002,"393,134"
GA,7,1,2003,"390,774"
GA,7,1,2004,"406,441"
GA,7,1,2005,"427,825"
GA,7,1,2006,"433,924"
GA,7,1,2007,"455,223"
GA,7,1,2008,"436,093"
GA,7,1,2009,"475,294"
GA,7,1,2010,"541,691"
GA,7,1,2011,"532,310"
GA,7,1,2012,"625,008"
GA,7,1,2013,"635,287"
GA,7,1,2014,"665,455"
GA,7,1,2015,"713,149"
GA,7,1,2016,"727,888"
GA,7,1,2017,"709,218"
IA,4,4,1960,"193,688"
IA,4,4,1961,"211,826"
IA,4,4,1962,"221,026"
IA,4,4,1963,"220,538"
IA,4,4,1964,"244,609"
IA,4,4,1965,"249,988"
IA,4,4,1966,"244,028"
IA,4,4,1967,"278,580"
IA,4,4,1968,"303,746"
IA,4,4,1969,"325,026"
IA,4,4,1970,"351,800"
IA,4,4,1971,"347,740"
IA,4,4,1972,"347,617"
IA,4,4,1973,"369,016"
IA,4,4,1974,"371,639"
IA,4,4,1975,"348,564"
IA,4,4,1976,"313,917"
IA,4,4,1977,"281,367"
IA,4,4,1978,"238,754"
IA,4,4,1979,"292,191"
IA,4,4,1980,"270,390"
IA,4,4,1981,"253,991"
IA,4,4,1982,"238,986"
IA,4,4,1983,"223,605"
IA,4,4,1984,"238,368"
IA,4,4,1985,"228,388"
IA,4,4,1986,"208,971"
IA,4,4,1987,"204,688"
IA,4,4,1988,"240,801"
IA,4,4,1989,"228,223"
IA,4,4,1990,"220,396"
IA,4,4,1991,"235,810"
IA,4,4,1992,"232,529"
IA,4,4,1993,"248,804"
IA,4,4,1994,"250,453"
IA,4,4,1995,"262,504"
IA,4,4,1996,"274,011"
IA,4,4,1997,"256,790"
IA,4,4,1998,"234,619"
IA,4,4,1999,"235,085"
IA,4,4,2000,"233,736"
IA,4,4,2001,"225,233"
IA,4,4,2002,"227,137"
IA,4,4,2003,"230,851"
IA,4,4,2004,"227,500"
IA,4,4,2005,"242,788"
IA,4,4,2006,"241,316"
IA,4,4,2007,"296,207"
IA,4,4,2008,"329,030"
IA,4,4,2009,"317,392"
IA,4,4,2010,"312,941"
IA,4,4,2011,"309,672"
IA,4,4,2012,"299,315"
IA,4,4,2013,"335,598"
IA,4,4,2014,"342,558"
IA,4,4,2015,"334,666"
IA,4,4,2016,"348,578"
IA,4,4,2017,"413,028"
ID,1,5,1960,"22,776"
ID,1,5,1961,"24,808"
ID,1,5,1962,"26,709"
ID,1,5,1963,"28,366"
ID,1,5,1964,"33,014"
ID,1,5,1965,"36,092"
ID,1,5,1966,"38,992"
ID,1,5,1967,"35,929"
ID,1,5,1968,"40,387"
ID,1,5,1969,"42,389"
ID,1,5,1970,"49,411"
ID,1,5,1971,"53,152"
ID,1,5,1972,"60,084"
ID,1,5,1973,"59,296"
ID,1,5,1974,"55,285"
ID,1,5,1975,"63,776"
ID,1,5,1976,"49,843"
ID,1,5,1977,"48,269"
ID,1,5,1978,"46,570"
ID,1,5,1979,"56,792"
ID,1,5,1980,"51,646"
ID,1,5,1981,"48,107"
ID,1,5,1982,"42,849"
ID,1,5,1983,"36,833"
ID,1,5,1984,"40,341"
ID,1,5,1985,"41,115"
ID,1,5,1986,"35,450"
ID,1,5,1987,"37,780"
ID,1,5,1988,"41,551"
ID,1,5,1989,"46,904"
ID,1,5,1990,"46,786"
ID,1,5,1991,"52,741"
ID,1,5,1992,"50,382"
ID,1,5,1993,"58,294"
ID,1,5,1994,"59,069"
ID,1,5,1995,"65,687"
ID,1,5,1996,"69,191"
ID,1,5,1997,"70,801"
ID,1,5,1998,"71,912"
ID,1,5,1999,"73,361"
ID,1,5,2000,"74,518"
ID,1,5,2001,"81,804"
ID,1,5,2002,"73,482"
ID,1,5,2003,"71,754"
ID,1,5,2004,"78,273"
ID,1,5,2005,"78,118"
ID,1,5,2006,"79,041"
ID,1,5,2007,"83,904"
ID,1,5,2008,"90,550"
ID,1,5,2009,"87,072"
ID,1,5,2010,"85,075"
ID,1,5,2011,"83,947"
ID,1,5,2012,"90,339"
ID,1,5,2013,"107,089"
ID,1,5,2014,"93,610"
ID,1,5,2015,"107,871"
ID,1,5,2016,"110,344"
ID,1,5,2017,"116,017"
IL,5,4,1960,"536,127"
IL,5,4,1961,"576,551"
IL,5,4,1962,"624,035"
